"","BCR_1_Y","BCR_2_Y","BCR_3_Y","BCR_4_Y","BCR_5_Y","BCR_6_Y","BCR_7_Y","BCR_8_Y","BCR_9_Y","BCR_10_Y","BCR_11_Y","BCR_12_Y","BCR_13_Y","BCR_14_Y","BCR_15_Y","E2A_1_Y","E2A_2_Y","E2A_3_Y","E2A_4_Y","E2A_5_Y","E2A_6_Y","E2A_7_Y","E2A_8_Y","E2A_9_Y","E2A_10_Y","E2A_11_Y","E2A_12_Y","E2A_13_Y","E2A_14_Y","E2A_15_Y","E2A_16_Y","E2A_17_Y","E2A_18_Y","E2A_19_Y","E2A_20_Y","E2A_21_Y","E2A_22_Y","E2A_23_Y","E2A_24_Y","E2A_25_Y","E2A_26_Y","E2A_27_Y"
"ENSG00000185386",273827,115466.05,280678.75,138224.8,102204.4,134411.55,157030.35,63911.75,173789.9,190066,161644.2,167824.55,154321.8,356236.5,134367.4,293503.8,172142.3,167144.6,300315.4,349166.15,154132.5,153241.95,119996.4,194593.65,136091.45,549405.9,113374.5,184261.75,192288.55,143434.6,117793.3,198081.65,175914.05,219628.95,374380.15,249534.45,127600,100106.65,196559.65,232157.2,507193.1,148417.65
"ENSG00000108953",753366.2,335972.6,821420.2,440356,262860.7,430941.3,443261.2,229251.9,530441.3,581482.3,490037.8,521628.2,441808.2,1059928.8,381276.3,751131.3,406530.5,452162.6,866587.6,1072572.4,432500.3,419001.3,348087.4,515817.9,365451.8,1922304.4,322304.8,558961.1,564862.3,442486.5,378185.5,621013.8,547413.6,696565.1,1126098.3,867219,356302.6,286125.1,537768.2,672468.3,1357860.8,443690.4
"ENSG00000114166",842.9,-668.8,1319.7,-295.7,-529.5,-121.9,-53.7,-133.4,-258.8,3170.3,635.8,926.4,778.4,1610,246.6,-1321.9,1119.1,145.4,1199.5,-1274.8,3214.5,94.7,319,1629.1,286,6971.7,732.1,1451.9,-1846.4,219.6,-805.3,1304.5,3329.4,1866.1,485.9,1099.1,-3960.8,-564.9,-1103.7,2833.8,1779.3,1342.6
"ENSG00000113658",4043.9,1515,1250.8,2402,691.5,3949.9,1737.6,1427.4,1730.7,1938,2375.9,927.7,1079.3,746.3,767.1,2765.3,591.8,1445,2486.9,1785.2,3489.2,1249.7,1375.2,2927.9,1002.5,8462.4,1704.9,928.6,2312.1,1541.4,1268,2008.7,3873.5,1530.8,1357.6,2280.3,563.1,1607.2,1539.6,2685.7,3290.6,1142.7
"ENSG00000140521",1076.9,1742.4,1275.7,976.8,295.3,1497.8,-679.5,520.2,174.2,-434.2,-129.4,601.5,-963.3,-734.8,1959.2,-825.5,917,537.2,1455.8,-2361.5,-2862.4,1329,-14.9,-5.7,-499,6330.8,475.5,864.5,-5140.8,1199.3,-20.4,3030,386.3,1270.6,609.1,-760.7,745.7,330.6,3621.5,418.3,-346.3,-595.1
"ENSG00000106683",-1092.3,-2850.1,-1533.3,-1229,-1526.4,-175,-862.2,-1712,-1659,-2940.1,-2572.3,-16.8,-1713.5,-2389.5,-1167.7,-3028.4,-1330.7,-2051.5,-2562,-3661.8,-3073.5,-1848.2,-621.5,114.8,-2463.4,-1635.2,-1437.7,-1377.6,-1410.4,-1772.3,-1340.7,69.2,-1384.9,-2559.4,-2081.7,-1619.3,-1506.2,-69.6,-1009,-1712.6,-2347,-1625.4
"ENSG00000123496",549.8,-74,591.3,-793.4,577.9,206.8,-2694.8,-421.1,222.1,-520.1,-878.2,-10.3,25.7,-342.9,632.7,-956,-1443.4,478.1,1443.7,-1739.9,1919.4,-1018.9,-590.7,-275.9,-494.1,-262.7,785.5,31.5,-513.8,454.6,-966.4,-494.9,-1048.8,-1022.5,97.6,-684.2,-265.5,-410.3,-1547.5,1222.3,125.5,-479.9
"ENSG00000116062",-844.9,1787.85,1433,2989.85,996.75,923.15,-2217.2,2253.7,2110.95,1296.3,1344.25,1243.25,1023.65,2394.7,2826.7,2151.1,1815.1,2071.45,732.8,4514.55,690.35,1515.25,380.5,1728.6,712.4,5907.05,1999.35,2127.4,-16.6,1170.55,898.75,2031.9,2758.45,3207.7,4347.85,3036.6,1661.1,1217.7,975.25,17.2,5201.05,1623.9
"ENSG00000169884",2706.75,2865.95,2597.15,3458.95,1067.4,684.75,1746.75,1084.4,1947.5,1913.25,811.4,1809.4,1490.1,2014.4,2599.25,3165.65,2110.05,2863.2,2288.75,2897.9,3177.25,1895.25,982.45,2897.1,1503.05,8904.45,3245.2,2104.95,27.45,2854.8,2758.95,2419.25,4222.9,4511.45,4162.05,3992.55,397.8,1674.1,365.9,2579.15,10422.2,2782.15
"ENSG00000010219",4830.1,717.7,2626.9,3506.4,1544.5,-780.4,-2607,561.8,2697.1,2326.7,724.5,-585.1,1194.7,3054.5,2341.6,2979.3,133.2,-119.9,3815.1,1065.7,-2676.4,-317.2,997.2,-507.4,1020.9,5927.9,1598.8,1618.5,555.2,1172,3228.7,1857.7,2557.9,2739.2,5343.1,899.7,2129.8,804.5,841.4,3611.9,5349.8,1084.8
"ENSG00000185043",1071057.5,562556.6,777582.3,931645.6,435430.6,614698.6,691801.4,468134.6,709795.3,660736.7,616992.1,551532.1,533559.3,819678.9,640862.8,735452.6,571781.2,605716.9,937196.4,1003083,698022.8,594642.5,430164.9,830736.8,444459.3,887405.5,603416.1,614644.6,365759,682136.9,709007.6,645953.6,1003983.1,926096.8,1188715.4,861243.3,537777.8,610469.2,595446.1,642821.6,1060381.8,611815
"ENSG00000111537",316.8,1809.6,51.9,215,561.9,809,1223.3,-191,1051.4,859.4,824.9,1249.8,677.8,2100.5,622.1,2065.2,1879.2,1021.6,-708.7,584.5,-281.6,859.9,-126.2,553.6,553.9,3063.6,951.7,-326.6,-552,1293.7,401.4,875.5,242.2,400.4,396.2,1577,477,960.9,1464.2,2875.6,1907.2,1588.4
"ENSG00000214042",-36.4,1337.6,-259.9,-717.6,192,708,415.2,697.3,1164,829.3,-1339.8,4.1,-186.7,659.9,890.2,-183.6,-7.6,-539,371.8,73.1,-1890,1042.5,-1074.5,-623.3,834.4,2659,-635.7,553.9,-1640.1,704.9,18.3,1255.6,1453.2,460.6,2042.8,528.3,1096.8,354.7,-1187.1,-1039.1,-940.6,-31.5
"ENSG00000130427",-820.5,-262.2,-1577.8,-1116.8,-91.1,-24.4,58.6,-1507.3,-629,-1591.3,-1265.1,-962.2,-578.6,-254.8,-1001.7,-2644.6,-1364.4,-258.3,-645.3,-3473.4,-6539.8,-933.9,166.3,-2919.4,579.8,-673.4,-621.1,-972.1,-3058.4,-21.1,-680.2,-85.7,-426.2,-719.3,-1981.2,-1281.5,180.6,-542.1,1957.3,-3475.5,-1805.1,-239.5
"ENSG00000140465",354,960,1032.7,1009.9,-570.8,1714.1,3936,-408,1129.2,61.6,227.9,-228.9,1099.1,-32.7,-370.6,-305.5,59.4,286.5,1619.3,117.8,957.6,-19.3,-409.1,1560.6,-189,-765.8,-89.8,144.4,-822.1,-125.7,-231.3,1036.5,576.3,414.3,-24.2,1519.2,989.6,432.4,579.7,225.6,-51.7,418.9
"ENSG00000204248",724.7,284.2,1218.2,1355.2,-455.5,1194.8,1322.7,-248.3,592.6,693.6,993.9,607.8,-28.1,332.2,397,417.9,980.4,835.3,927.6,1257.3,258.9,658.2,-548.6,591.1,1302.6,943.8,554.5,814.4,-1511.1,642.2,789,511,1041.7,28,726.7,1828,736,523.3,433.4,1947,1113.5,562.9
"ENSG00000177302",3031,1241.75,814.75,424.45,1076.2,3023.7,2539.55,-58.75,1380.8,1933.85,452,1883.4,2077.95,1459.6,641.7,2765.6,1410.35,1949.85,3009.65,3221.75,4610.65,2716.3,1114.15,5182.6,1918.5,4026.55,1824.1,3110.35,1717.4,3736.1,1635.1,2227,1548.2,2170.8,2307.5,3238.85,2418.15,2814,1363.35,3473.95,1314.25,2341.85
"ENSG00000074966",571.7,258,743.5,568.8,1117.4,-1117.7,1021.2,282.4,-306,785.2,785.2,792.3,123,-191.3,291,909.5,1950.9,756.3,455.1,307.5,309,263.3,220.5,2509,469.1,379.3,578,1348.1,1208,1508.4,694.3,878.4,1569.7,1256.9,1712.8,731.6,1405.6,584.3,-192.1,1632.3,2264.5,1538.9
"ENSG00000110422",4143.85,4217.95,3604.8,5195.2,11099.65,-33.2,8244.25,1642.25,2217.9,2566.15,3366.8,8919.8,61278.65,54072.65,2842.4,6790.3,2393.3,2690.8,8708.8,3200.25,8379.4,1743.9,6768.8,4849,7142.7,7473.3,3914.6,4109.15,6861.05,4850.15,3955.3,2479.8,2167.65,4875.25,2958.5,11130.95,4232.6,2542.8,3463.75,2698.3,3590.05,4646.45
"ENSG00000198900",-155.1,-134.8,-78.9,284,-413.1,-7.1,45.6,-416.7,148.4,50.9,601.5,-186.4,-365.9,321,-240.3,198.2,15.4,-51.3,-546.6,-72.9,-736.4,61,271.2,464.6,-1307.6,537.1,-346.1,424.4,-234.4,-114.5,1083.7,316.1,-555.5,107.9,-1362.2,-1480.2,-849.8,359.6,-1254.9,125.7,-556.3,15.6
"ENSG00000096063",-2641.7,-246.7,249.2,-2044.8,-1512.1,-1446.2,-1743.7,-1181.2,-1266.5,1114.3,411.4,-2938.1,-977.4,-280.4,-1208.1,-5475.3,-692.9,-1362.6,-818.7,-1747,-226.2,-946.1,-1121.3,18.8,-756.1,-2727.3,-1625.4,-614.4,-1081.2,-347.5,-187,-89.1,865.1,31.4,-1641,-3447,-505.7,-482.5,576.5,-749.3,-2907,-371.6
"ENSG00000180871",-66.6,21.5,-1148.8,1498.3,415.5,212.8,-880.1,-285.8,-171.2,-496.8,-278.4,-142.5,656.6,-613.3,-207.9,-3,-719.4,-1069.4,541.7,-476.6,-902.7,-732.6,-110.5,1293.1,-697.9,-81.5,21.3,-714.3,-1256.7,-197.3,-208.7,-278.9,-346.6,-79.8,-1090.8,-829.1,-261,220.1,-111.6,-1876,153,99.5
"ENSG00000100234",1420.95,1275.9,-362.95,39.4,1593.4,1039.3,-1700.65,-336.5,-103.45,262.6,607.45,262.8,71.2,1332.9,613.85,-645.35,194.1,777.75,-862.25,1086.55,133.35,-450.05,689.15,2024,109.45,37.05,586.6,923.85,-1670.4,310.45,1089.95,612.85,58.8,-167.65,388.9,-286.5,1612.1,261.75,1216.6,462.05,458.3,-307.9
"ENSG00000164136",5245.95,1384.6,4292.65,2462.5,8036.4,4327.05,4188.25,2582.2,2134.6,2337.9,3687.5,5346.95,3294,6321.2,3587.15,6502.5,2948.4,3596.15,3859.3,5685.45,1672,3304.1,3249.15,2096.25,3456.1,2815.8,3703.9,3879.4,2865.85,2593.55,2795.5,3397,2355.35,3035.65,2772.15,4020.45,2706.35,3923.4,5559.55,3080.15,2747.05,3076.2
"ENSG00000055609",2759.4,1530.7,4466.2,2460.6,10604.5,3428.5,2994,2167,1994,3202.9,4302.9,3378.6,2901.6,10422.3,5102.7,10502.4,4646.7,3690.6,1275.2,1915.8,3379.2,2747.5,5103.2,1706.8,3123.5,7199.3,3949.6,4286.7,1600.2,5390.7,1516.5,3096.8,2259.1,2681.4,3862.7,2175.9,1817.9,1470.5,5934.4,-129.7,2919.1,2959
"ENSG00000027697",6056.2,3071.2,9072.6,4017.8,15013.8,7162,6799.2,4029.1,3929,5063.3,7284.7,7127.5,4326.1,19658.6,10488.8,15068.2,6185.6,4923.1,3770.5,2991.8,4789.7,5503.3,6199.2,4725.5,5836.5,11298.6,9145.5,9632.2,4644.5,7066.2,4323.7,4068,3782,4368.9,5869.8,4197.5,6022.1,3943.7,8757.2,5477.9,5709.8,4851.6
"ENSG00000100644",-1011.7,280.2,97.3,-264.5,117.8,-272.2,-3408.6,638.9,-753,212.4,-558.6,-358.3,-759.6,626.6,-1029.3,1667.4,337.2,-1029.6,-348.8,-429.5,-1597.5,-438.8,159.5,2064.2,-216,1206.5,420.2,61.4,2057.9,-1949.3,-938.5,1055.3,-689.6,657.5,1128,756,-812.5,-611.5,-1310.4,497.9,-561.3,497.2
"ENSG00000113296",-1123.5,-2230.6,-2099.3,-3096.5,-743.7,-1063.1,-1217.9,-891.8,-1174.8,-2420.1,-3445.3,-1720.6,-1263.3,-1523.9,-1150.7,-1623.5,-2088.1,-1235,-1638.1,-1100.2,-2394.2,548.3,-1316.2,-3327.5,-2046.7,751.4,-1247.7,-214.5,-582,-1273.9,-1863.3,-1164.8,-622,-220.7,-2012.8,634.2,-946,-1063.2,-1130.6,-7496.1,-1254.2,-1680.8
"ENSG00000138443",424.6,1565,289.7,1242.3,-142.95,230.1,278.15,-198.25,257.05,-586.85,-122.65,-265.85,-255.7,-308.4,499.1,-66.3499999999999,1043.7,115.2,-271.4,2300.7,530.15,1392.8,812.15,623.2,532.65,1419.1,878.05,1968.25,422.5,1261.3,463.5,286.2,1769.8,833.5,391.05,-533.95,679.15,1162.3,344.2,217.7,618.35,-110.2
"ENSG00000184349",64128.15,80714.9,88900,87784.35,65046.25,64926.4,64509.95,97285.1,40231.9,60843.9,68775.05,86587.9,87970.45,87946.3,22708.9,42078.95,92551.7,50873.05,64936.15,57808.5,77991.15,101694.15,86143.2,36298.5,84661.05,52881.5,68691.6,71949.4,59906,82204.15,71118.9,74516.7,63221.35,87355.45,67283.4,85859.45,76470,107233.7,59642.4,91782.95,39219.55,94120.6
"ENSG00000118849",90945.05,111854.2,114231.4,115301.4,81782.75,81130.1,88309.75,108760.85,60748.2,83375.75,81819.95,97225.85,97034.1,104626.25,53944.25,56347.8,100322.7,69800.15,82720.35,71734.75,98195.5,122049.6,106734.4,63121.1,99730.85,74869.7,86586,83124.25,87312.25,103321.85,88089.25,85293.9,73922.7,90186.25,82035.7,92650.9,92366.35,118864.25,72470.45,103079.5,50328.6,107886.2
"ENSG00000002016",2205.1,9267.4,5906.8,9045.6,6323.7,6344.2,3575.2,13078.7,4689,3849.9,1156.3,2345.8,9900.6,9424.9,4030.2,1153.1,4678.5,6211.4,5968.9,5914.4,5936.3,4949.3,8440.6,5933.2,5674.6,4237.6,5409.7,8625,11367.6,3452.3,9809.1,6758.7,5226.1,4065.3,7571.9,1987.3,5202.1,7894.9,2526.6,5684.3,4396.9,8756.8
"ENSG00000133740",69861.1,102376.3,90982.9,81266.4,66274.1,82953.6,72261.2,114073.2,75752.2,99586.5,94202,83055.9,69954.9,123696.4,82152.1,202475.8,131095.4,95238.2,96120.6,98487.8,79045.5,101621.8,117034.4,127906.8,91248.8,139736.4,106179.3,116554.8,124598,101596,101610.4,99166.3,79725.1,96420.2,98761.6,99329.3,101481.9,111613.9,92720,113463,151810,104839.6
"ENSG00000173039",8366.65,7057.15,10210.7,10964.15,8263.75,17496.6,10342.75,15466.6,9595,12747.05,11375.6,10694.65,9914.65,10459.6,9808.35,14323.5,6607.35,8467.5,10067.45,6038.15,5934.2,5014.1,7262.6,7595.05,4722.15,4747.15,5225.85,7591.5,9835.45,5408.2,5007.75,7578.4,3880.5,4131.4,2733.8,5478.05,3995.45,4072.7,6476.15,5884.6,5842.1,5660.1
"ENSG00000152778",379150,242906.2,315527,357927.3,174235.5,331316.5,287294.9,166281.3,298109.8,295330.9,226259.5,287802.4,278222.4,300551.8,278026.8,376821.6,305179.3,259294.1,381285.9,293412.2,316942.6,287834.6,269779.4,341958.6,257670.5,428433.2,273096.1,284414.7,243442,300708.3,281196.7,275437.8,221043.7,227264.7,331644.5,277875.9,247366.8,243428.5,312322.6,353357.8,356096.5,277271.2
"ENSG00000173531",901.7,1668.2,652.8,1541,1116.6,1931.8,1992.8,327.1,845.8,1128.9,500.1,374.7,1674.7,4403,1407.5,3678.6,2645.1,2025.9,2105.6,3309.2,658.4,1635.7,1216.5,-561.3,980.9,2172.6,848.4,792,77.3,1610.3,495,2491.1,2108.9,2087.2,422.7,1179.5,1546.7,2363.8,945.4,556.1,565.4,1469.9
"ENSG00000143171",2582.4,1772.45,533.15,1387.5,1386,2478.15,185.8,668.85,946.7,857.25,623.25,1390.75,1611.4,6268.5,620.1,4668.75,2690.3,1556.6,661.75,1459.95,1463.25,1163.5,736.15,-180.7,658.8,1518.75,695.5,1832.4,338.55,1190.8,20.8,1772.4,1806.65,2059.7,260.2,2548.6,2151.75,1829.15,2265.3,2123.1,424.95,1333.15
"ENSG00000184271",361.85,976.9,535.55,1105.6,718.75,-169.45,808.25,491.6,485.35,1651.85,190.4,468.1,631.4,-152.4,-48.5,364.2,186.5,330.85,-203.25,-391.95,1106.95,135.95,177.5,-2082.8,16.6,1818.2,684.4,1603,1908.1,457.7,170.15,810.15,-942.95,1336.25,-530.95,636.65,210.95,743.15,-849.4,682.95,478.4,243.35
"ENSG00000120215",2577.5,5983.4,1874.9,2847.7,5607,2349.2,2827.4,2229.9,3491.5,5073.4,3778,4248.9,2799.5,1889.9,3372.1,1868.9,1237.9,4022.9,2702,3055.7,4302.9,595.4,2014.4,4157.5,1048,4224.1,5985.2,4604,2034.5,1475.6,5812.3,7247.3,5153.2,4076.9,3725.4,5390.8,3313.6,1907.1,6633.7,5337.9,6450.7,1065.8
"ENSG00000221869",17811.5,9737.6,13477.5,10477.5,9373.5,14571.1,8466.1,6519.9,10238.1,9769,9868,11364.9,10866.2,7719.8,21834.8,15049.2,8326.4,11779.2,18569.3,13711.5,12917,16277.3,5051.4,38420.7,5456.7,17979,8389,12316.3,5962.6,9427.1,16184.5,13134,15741.9,16070.9,9498,10020.5,9849.7,13723.8,13392,20185.4,27392.1,9122.6
"ENSG00000049541",-914.4,-550.2,1388,1933.8,2178.2,566.4,939.2,2616.6,1787.8,1714,3099.2,2923.7,2918.2,1764.4,539.2,79.6,293.7,1261,840.4,289.1,-540.2,1041.7,294.5,-656.9,1772.1,6078.2,603.9,4086.1,-488,960.9,303.7,1652.3,3548.5,3203,594.2,2365.9,991.9,2956.8,1402.9,-663.5,87.6,948.5
"ENSG00000163918",1611.8,2203.3,1959.1,2355.9,1996.7,1937.5,920.1,1587.6,1418.45,979.5,868.35,1441,1347,1603.65,1653.6,1164.1,2072.85,2615.45,2179.8,1606.75,2651.1,3164.65,1274.35,2651.95,1153.2,1758.05,1544.2,2356.4,1147.05,1630.25,853.8,1212.65,1117.65,2375.05,2192.7,2117.55,2275.8,1516.45,1145.6,1058.1,2909.9,831.1
"ENSG00000172349",2718.75,1117.1,-414.7,556.55,87.55,2364.35,949.4,366.25,760.2,223.8,-276.6,1718.05,526.75,141.05,546.9,-347.85,815,647.55,577.65,234.3,937.65,702.55,1133.9,-551.05,1076.6,278.1,710.1,573.2,685.3,1191.95,262.35,-810.45,744.65,1555.8,164.25,-1507.45,718.3,495.95,-876.25,1164.25,595.4,1724.35
"ENSG00000143320",5207.15,1592.35,1669.75,2424.45,1822.7,1895.65,2642.35,2023.85,1236.4,646.7,3084.7,1428.25,1238.15,2062.7,2443.6,3170.7,959.2,2606.75,2498.95,2283.9,333.2,2163.85,1693.45,105.4,1560.7,2883.6,1746.6,1962.8,977.05,2184.15,2398.15,2051.4,2185.5,1128.4,1442.45,2350.75,1929.45,2416.25,2436.2,2539.4,916.25,2232.2
"ENSG00000132970",-784.4,315.3,-619.5,320.6,-322.9,-947.5,443.6,308.9,388.1,653.4,1102.3,-411.1,-212.7,-36.4,-645.5,952.1,234.7,-995.6,-836.1,-1106.9,2521.2,-1099.7,-291.5,-562.7,-554.1,-206,-246.2,556.4,-1040.2,-216.7,1288.5,563.7,781.4,-11.9,-114.2,-2747.4,-55.5,281.5,-570.5,2008.4,-348.9,751.3
"ENSG00000140538",1709.2,3226.1,3957.8,1137.9,731.7,2119.1,528.4,1748.4,1885.1,2838.5,2183,897.3,1928.4,2460.1,457.9,1411.8,1166.7,1299.2,2047.6,1313.3,1648.9,774.6,891,2273.5,1006.9,2420.6,1385.2,2006.4,1850,1740.3,2246,2243,2879,932.2,1757.4,3942.8,2649.9,3235.6,1420.3,4532.7,2547.6,344.5
"ENSG00000143257",768,-382.3,834.3,1118.1,-114.7,2776.1,2966.4,-570.9,-400.4,713.4,815.2,-245.8,408.3,1655.2,1193.1,3044.5,-7.1,1454.7,619.4,2738.8,716.5,-375.4,1164.5,630.1,-141.5,43.8,98,465.8,-395.3,70.8,357,1108.3,-476.9,1278.2,-187.5,452.5,831,626.5,-934.4,1006.7,423.7,860
"ENSG00000110324",1399.6,248.3,346.5,1197.4,242.9,1684.1,592.6,-196.6,-558.5,606.2,108.7,73.6,89.4,169.3,97.8,-548.5,267,33.8,-1248.7,529.7,-811.6,340.2,219,400.1,-600.9,-1264.3,-45.2,-195,323.2,202.4,121.6,106.6,572.4,-535.6,1427.4,1208.6,-896.6,-61.9,-649.1,-260.3,-1583.1,524.4
"ENSG00000092445",-346,1521.2,1212.35,1846.05,800,758.05,1241.9,321.45,2041.1,1159.95,1795.05,3527.3,564.35,3028.25,1410,816.9,752.85,92.45,499.85,1719.75,156.85,1613.5,458.7,-1361.75,1025.5,2665.4,1063.75,632.15,258.7,644.15,1275.7,893.2,1115.2,771.8,1073.15,802.15,1172.9,452.5,385.05,1333.15,2068.3,669.8
"ENSG00000151239",-728.5,-368.2,-360.8,161.2,11,-1186.6,333.2,-1047.7,251,-1397.4,-1213,321.3,241.6,-75.8,-808.5,-745.8,-631.3,880,960.9,-2458.3,-402,-500,-421.8,-190.1,-929.9,720.6,-35.6,271.7,80.2,-1490.6,-908.9,-466.3,-1022.5,60.8,-545.6,-1441.8,1846.1,379.5,1434.8,-3432.9,-573.7,124.3
"ENSG00000122025",-264.45,264.9,-1124.05,45.3,261.5,-1509.95,-515.5,2304.75,280.55,-876.7,26.9499999999999,-27.6000000000001,-216.05,-978.4,-36.15,-2436.25,-831.2,-228.4,47.15,-354.65,-1598,-126.6,-248.15,-424.8,-1185.75,-154.85,-517.95,41.9,-817.2,-498.2,-608.2,-57.8000000000001,330.65,-298.05,212.1,-798.75,263.85,-227.3,249.2,409.9,1557.75,458.25
"ENSG00000096996",-391.5,104.6,-3458.1,-175.8,-601.6,190.3,-2667.3,529.7,-809.1,307,-530.2,-256.8,-581.1,-98.2,-822.2,-3040.7,-2336.1,-1872.3,1069.4,1711.1,238.9,-222.6,115.7,-656,417.7,3219.4,-1595.2,344.1,-1711.4,-1573.1,-1049.2,-1779.1,-1422.5,-677.8,916.4,37.8,-1175.4,-278.1,-2822.2,-3366.1,-1242.8,103.7
"ENSG00000090554",557.6,1544.7,-48.9,-1078,686.5,-459.3,-1074.1,1706.3,-203.4,33.5,-136.7,429,500.5,440.8,851.2,-1213.6,1135.8,59.3,99,-894.4,529.7,286.1,267.8,886.1,519.8,1817.6,166,871.9,415.7,29.5,801.9,-549.1,316.7,-311.2,-13.8,-10.2,946.4,648.4,1998.7,793.2,1030.7,19.5
